ClientId;Name;Email;Phone;IsPrimary
1;João Silva;joao.silva@desentofossalisboa.pt;351 912 111 001;true
2;Ana Ferreira;ana.ferreira@fossalimpaporto.pt;351 913 111 002;true
3;Carlos Martins;carlos.martins@hidrodesentoalgarve.pt;351 914 111 003;true
4;Mariana Costa;mariana.costa@saneamentofossascoimbra.pt;351 915 111 004;true
5;Ricardo Gomes;ricardo.gomes@desentupimentostejo.pt;351 916 111 005;true
6;Sofia Almeida;sofia.almeida@fossaseguraminho.pt;351 917 111 006;true
7;Pedro Rodrigues;pedro.rodrigues@hidrojatoaveiro.pt;351 918 111 007;true
8;Inês Carvalho;ines.carvalho@remodelacasanorte.pt;351 919 111 008;true
9;Tiago Santos;tiago.santos@renovalarlisboa.pt;351 910 111 009;true
10;Marta Ribeiro;marta.ribeiro@obraprontasetubal.pt;351 912 111 010;true
11;Bruno Correia;bruno.correia@fossacanalizacaobraga.pt;351 913 111 011;true
12;Patrícia Sousa;patricia.sousa@hidrosuldesentupimentos.pt;351 914 111 012;true
13;André Lopes;andre.lopes@saneamentorapidoviseu.pt;351 915 111 013;true
14;Helena Teixeira;helena.teixeira@fossalimpamadeira.pt;351 916 111 014;true
15;Rui Machado;rui.machado@aquafossaacores.pt;351 917 111 015;true
16;Cláudia Nunes;claudia.nunes@remodelacoesatlantico.pt;351 918 111 016;true
17;Miguel Pinto;miguel.pinto@reabilitaerenovacascais.pt;351 919 111 017;true
18;Daniela Rocha;daniela.rocha@obrasdouro.pt;351 910 111 018;true
19;Fábio Mendes;fabio.mendes@desentofossalinha.pt;351 912 111 019;true
20;Beatriz Oliveira;beatriz.oliveira@fossaprontaleiria.pt;351 913 111 020;true
